Batch ID,Entry ID,Entry Type,Super Category,Shipping Info,Dispatched Date,Product Cost,Agency Margin,Country
74384,4,New Product,Food,Shipped Full,2017-08-24 21:05:33,3.75,7.39,Spain
74384,5,Variety,Food,Shipped Full,2017-08-24 21:05:33,3.90,3.84,Spain
74384,6,Variety,Food,Shipped Full,2017-08-24 21:05:33,3.90,3.84,Spain
74384,7,New Product,Food,Shipped Full,2017-08-24 21:05:33,9.10,2.04,Spain
74384,8,New Product,Food,Shipped Full,2017-08-24 21:05:33,3.99,7.15,Spain
74384,9,Variety,Food,Shipped Full,2017-08-24 21:05:33,3.60,4.14,Spain
74384,10,Variety,Food,Shipped Full,2017-08-24 21:05:33,3.82,3.92,Spain
74384,11,New Product,Beauty & Personal Care,Shipped Full,2017-08-24 21:05:33,9.70,1.44,Spain
74384,12,New Product,Beauty & Personal Care,Shipped Full,2017-08-24 21:05:33,10.15,0.99,Spain
74384,13,New Product,Healthcare,Shipped Full,2017-08-24 21:05:33,15.50,-4.36,Spain
74384,14,New Product,Food,Shipped Full,2017-08-24 21:05:33,19.90,-8.76,Spain
74384,15,New Product,Drink,Shipped Full,2017-08-24 21:05:33,2.65,8.49,Spain
74384,16,New Product,Drink,Shipped Full,2017-08-24 21:05:33,1.19,9.95,Spain
74384,17,New Product,Food,Shipped Full,2017-08-24 21:05:33,2.49,8.65,Spain
74384,18,New Product,Food,Shipped Full,2017-08-24 21:05:33,2.15,8.99,Spain
74384,19,Variety,Drink,Shipped Full,2017-08-24 21:05:33,3.18,4.56,Spain
74384,20,New Product,Drink,Shipped Full,2017-08-24 21:05:33,2.25,8.89,Spain
74384,21,New Product,Drink,Shipped Full,2017-08-24 21:05:33,2.68,8.46,Spain
74384,22,New Product,Household,Shipped Full,2017-08-24 21:05:33,6.38,4.76,Spain
74384,23,New Product,Drink,Shipped Full,2017-08-24 21:05:33,3.30,7.84,Spain
74384,24,New Product,Food,Shipped Full,2017-08-24 21:05:33,2.69,8.45,Spain
74384,25,New Product,Food,Empty Packaging,2017-08-24 21:05:33,2.10,9.04,Spain
74384,26,New Product,Food,Shipped Full,2017-08-24 21:05:33,3.09,8.05,Spain
74384,27,New Product,Beauty & Personal Care,Shipped Full,2017-08-24 21:05:33,4.50,6.64,Spain
74384,28,New Product,Beauty & Personal Care,Shipped Full,2017-08-24 21:05:33,8.70,2.44,Spain
74384,29,New Product,Drink,Empty Packaging,2017-08-24 21:05:33,1.49,9.65,Spain
74384,30,New Product,Beauty & Personal Care,Shipped Full,2017-08-24 21:05:33,18.26,-7.12,Spain
74384,31,New Product,Beauty & Personal Care,Shipped Full,2017-08-24 21:05:33,4.90,6.24,Spain
